ip,category,confidence,first_seen,last_seen,tags
185.246.128.133,ssh-bruteforce,90,2026-09-14,2026-09-26,bruteforce|honeypot|ssh
187.127.175.157,mcp-abuse,90,2026-09-21,2026-09-26,abuse|honeypot|mcp
2.57.121.112,ssh-bruteforce,90,2026-09-15,2026-09-26,bruteforce|honeypot|ssh
34.142.110.144,ssh-bruteforce,90,2026-09-23,2026-09-26,bruteforce|exploit|honeypot|ssh
128.14.237.154,ssh-bruteforce,90,2026-09-23,2026-09-26,bruteforce|honeypot|ssh
139.19.117.129,ssh-bruteforce,90,2026-09-14,2026-09-26,bruteforce|honeypot|ssh
152.32.162.142,redis-exploit,90,2026-09-26,2026-09-26,exploit|honeypot|redis
176.53.159.196,ssh-bruteforce,90,2026-09-14,2026-09-26,bruteforce|honeypot|ssh
193.46.255.86,ssh-bruteforce,90,2026-09-15,2026-09-26,bruteforce|honeypot|ssh
205.164.241.90,ollama-abuse,90,2026-09-26,2026-09-26,abuse|honeypot|ollama
23.175.50.52,ssh-bruteforce,90,2026-09-21,2026-09-26,bruteforce|honeypot|ssh
36.255.97.185,vllm-key-replay,90,2026-09-16,2026-09-26,honeypot|key-replay|llamacpp|vllm
5.88.119.21,ssh-exploit,90,2026-09-23,2026-09-26,bruteforce|exploit|honeypot|ssh
57.129.48.33,mcp-abuse,90,2026-09-19,2026-09-26,abuse|honeypot|mcp
77.90.185.17,ssh-bruteforce,90,2026-09-25,2026-09-26,bruteforce|honeypot|ssh
